0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,,,,,,,trio,,Syb,,robo3,Adk1,fabp,,,pyd,CG12594,,eIF3l,CG14591,CanA-14F,CG12822,dpr9,,beat-VI,CG1814,CG6765,,,SLO2,betaTub56D,CG13594,,CG7781,Btk29A,CG44838,,COX6B,GABA-B-R3,glob1,nAChRalpha2,Rho1,,Npc2a,CG32276,GlcAT-S,CG14757,Vha13,,CG3530,grp,,,CG3955,Men,,NFAT,,CG8547,CadN,,ATPsynG,olf413,ATPsynB,Tret1-1,Uhg4,,crok,CG17027,,COX6B,CG2918,ATPsynD,,RpS16,plx,CG10077,Aldh,bsk,CG1572,AdSS,,Sodh-2,CG10562,RpL37A
,,,,,,,,Pde1c,,retm,,CG32264,CR45332,CG31344,,,Sytalpha,ckn,,CG3556,kdn,CG42784,ND-18,Pur-alpha,,CG6282,Ih,scyl,,,CG14414,COX4,esn,,CG17896,Sdc,ths,,CG30463,dpr3,CG32066,unc-104,pnr,,CG42340,Msp300,Pde1c,Ktl,CG31760,,glec,Galphao,,,Tim17b,Aatf,,GluClalpha,,Hydr1,RFeSP,,ftz-f1,CG32506,Got1,by,glec,,CG12926,CG4302,,Dic1,cpx,Mapmodulin,,ninaE,CG9005,Pgk,CG10863,fz2,CG9336,GstE6,,GluRIA,shg,Tctp
,,,,,,,,Hsp83,,ced-6,,P5CDh1,betaTub56D,eEF1alpha1,,,CG12594,bi,,ND-42,CG15236,Dif,ssx,CG7430,,l(3)neo38,CG1909,Pitslre,,,stv,ND-B17,msi,,mgl,Gdi,CG3164,,CG15186,CG11076,CG14431,bru1,Prip,,cno,Trx-2,Rac1,CG15772,CG3655,,l(3)neo38,CG34351,,,eIF1A,Bdp1,,CG4629,,GstE6,PyK,,Sh,Pka-R1,Gapdh1,RpS11,EndoB,,scrib,N,,stai,disco-r,tai,,Src42A,Mdh2,P5CDh1,CG42235,C3G,Tsp42Ea,CG31248,,Ppcs,CG5515,Prosbeta3
,,,,,,,,wdb,,CG3376,,ND-49,Gpdh,CG5404,,,Src64B,skl,,eEF2,Tomosyn,VAChT,CG11876,CG3967,,COX8,firl,dpr17,,,roX2,CG44242,Chd64,,fng,CG32809,Rala,,CR46006,CG43143,ND-B17.2,FMRFaR,CG30046,,CG11638,cathD,MYPT-75D,CG2258,SKIP,,Bug22,l(3)neo38,,,CG34155,Hsc70-4,,dlg1,,CLIP-190,Dap160,,CG30419,CG13698,CCKLR-17D3,cv-c,ND-30,,CG13124,RpL26,,ATPsynO,CG17378,CG11319,,Inx3,CG9932,CG31360,stumps,Rbp6,CG4928,CG30285,,mspo,CG33978,pyr
,,,,,,,,Mkp3,,CG12355,,CG16833,qtc,CR44107,,,LRR,Pdfr,,CG18812,CG14757,His3.3A,ND-B22,MESR3,,mmd,Mef2,dpr10,,,CG18208,l(1)G0156,beat-VII,,AnxB9,CG13229,Adk1,,CG30116,beat-IIa,cmpy,CG34357,RpL27A,,Ccn,robl,ttv,rk,Syt7,,Epac,CG33229,,,Fis1,CG10527,,Pect,,fng,Rop,,CCKLR-17D3,eys,ATPsynbeta,CG30460,Syn,,nrv2,Cyp6a20,,CG14509,ringer,CG32264,,Moe,AMPdeam,stj,Cyp9f2,CG31808,RpS27A,Ugt35b,,kug,pix,Mkp3
,,,,,,,,Rab27,,Ugt35b,,app,cdi,Fhos,,,NetB,,,CR41597,Syngr,Elk,Bgb,chrb,,Pde1c,CG5214,CG42402,,,CR46004,CG42394,kirre,,betaTub97EF,CadN2,CG18766,,GluRIB,CG42524,CG17839,Fas2,RpL39,,RpS3A,beat-Ia,CG32700,Sdc,Oct-TyrR,,Tl,CG13384,,,CG17124,Prosbeta5,,kuz,,CG16743,CG8910,,RFeSP,miple1,RpL23,cv-d,Non1,,RpL26,pst,,ND-13B,CG4364,CG1907,,ninaB,CG7582,stv,Syx4,CR43334,RpL28,Got1,,RapGAP1,CG5390,RpL19
,,,,,,,,CG10947,,CG5758,,Tsp42Ej,CG33543,CG10960,,,plum,,,CG11638,CG15309,Dh44-R2,stmA,eIF3l,,UQCR-14,ND-24,eIF3e,,,Dscam3,COX7A,emc,,CG8745,mAChR-B,Pka-C1,,CG12541,Gfrl,emc,CG5068,Cys,,kirre,CG1943,CG13300,mamo,slgA,,ewg,roX2,,,CG7272,CaBP1,,CG8745,,GlcAT-P,Argk,,Mdh2,CadN,Ddc,CG16700,CG7841,,Gapdh1,Jheh2,,ND-ACP,Toll-6,Vha13,,CG12025,CG14777,MCU,Inx2,cno,CG15661,CG3091,,PKD,Sox14,fax
,,,,,,,,CG4660,,RapGAP1,,Cchl,orb2,CG13631,,,5-HT7,,,ND-20,Cad87A,Dyb,ND-PDSW,NaCP60E,,ATPsynbeta,CG45002,NaPi-III,,,Nadsyn,COX8,CR32865,,CG11407,CR44320,CG32206,,CG14372,CR46006,flw,Eip63F-1,CG31445,,Atox1,CG4250,CG9368,CG32432,CR43148,,pho,CG5028,,,tna,cv-2,,MYPT-75D,,spri,ND-20,,Syt7,CG12290,CG42450,CG15083,COX5B,,Pde9,CG6231,,roh,kek2,COX6B,,Wdr62,Non1,CG8086,CG4829,B52,CR42765,mgl,,nmo,CG5910,Stt3B
,,,,,,,,Pkc98E,,sky,,CG1640,zld,CR43259,,,CG43759,,,Grd,Lim3,CG30116,CG11752,ND-B14,,CG1090,norpA,Mct1,,,NK7.1,ATPsynO,nkd,,Rac2,CG42340,kek2,,CG32544,bab2,para,Uev1A,CG8738,,caps,Gr28b,PlexA,bic,Vha36-1,,Nlg4,Syt7,,,Gyc88E,path,,CG14274,,Cyp28a5,Drat,,sNPF-R,Eaat2,GluRIA,Cyp9f2,l(3)02640,,FASN1,Lmpt,,ND-B18,dpr1,gprs,,Arc1,Gapdh1,AP-2mu,CG2852,Dhpr,nahoda,GILT2,,X11Lbeta,Cyp305a1,RpL4
,,,,,,,,tsr,,CG6770,,ND-19,nAChRalpha1,CR17025,,,mspo,,,RpL35,Nplp1,mAChR-B,Vha36-1,Stlk,,COX6B,Pep,Ccn,,,Ip259,Vha68-1,CR46004,,Idh,twr,CR46006,,GABA-B-R1,Dys,pHCl-1,uzip,RpLP1,,Gprk2,Pcd,CG12237,CadN2,Hr38,,CG42524,RapGAP1,,,Nlg4,Rpi,,dpr10,,Spn43Ab,sif,,CR44317,CR45312,CG15236,CG9691,ND-B17,,cpo,CG13907,,CR45332,Syngr,Vha14-1,,CG42394,ND-B14,Rx,CG5758,plx,RpL35A,CG13458,,cv-c,Corin,eEF1beta
,,,,,,,,CG13921,,Gapdh1,,CG13954,CG31690,Mal-A5,,,CR44024,,,tj,CG7943,CG31997,Pgi,CG17839,,MRP,Shab,PH4alphaNE1,,,CG10866,gammaSnap1,CG32982,,CG7737,CG43759,ct,,KrT95D,Hsp70Bc,CG9705,CG30116,CG33926,,pan,SdhA,beat-Vc,Cp110,CG42240,,CG31324,Ih,,,CG2082,CG30389,,smog,,CG13012,mRpL23,,ox,CG10804,ND-39,CG4269,ATPsyngamma,,Arc1,RpS16,,l(1)G0156,CG7943,Syx13,,Cys,CG32085,pHCl-1,Gs2,CG1572,CG8036,CR44998,,CG32547,CG2224,eIF3d1
,,,,,,,,Rdl,,wgn,,CG4238,CG18428,nuf,,,Rgk2,,,ND-B22,CG12822,PIP4K,FK506-bp2,COX5B,,mGluR,CG8245,CG33181,,,ewg,ATPsynF,erm,,Dbi,Myc,tld,,nrv3,CR32865,CG9650,Lerp,He,,Pde11,CG2918,CG32485,jagn,ed,,Eip75B,Eip63F-1,,,CG6154,RPA3,,CR46006,,Irk2,SdhB,,Gapdh2,GC,ATPsynD,CG2082,UQCR-Q,,RpL30,eEF5,,stmA,zfh1,Scp2,,Txl,mspo,Dh44-R1,Syb,CG6329,Jabba,Elal,,Ric,CG32816,CG4577
,,,,,,,,CG18812,,Oda,,LpR1,CG4168,CG15098,,,CG4199,,,CG9921,SNF4Agamma,scrib,ND-24,CG42795,,E2f1,CG17193,CG17124,,,GATAd,CG6115,Lmpt,,Prx2540-2,CG32485,fok,,CG42240,CG31997,ATPsynCF6,5-HT2A,CG30456,,nAChRalpha3,betaTub56D,unc-13-4A,Nlg4,Ir76a,,St3,fru,,,Syt7,Updo,,ATPsynB,,Lsd-2,Pal2,,Trim9,CG14715,Mpcp2,RpL39,Vha55,,Bin1,olf186-M,,CG30419,CG33199,fkh,,CG9932,unk,CR45758,CG42390,CG16711,grnd,CG31974,,CG43778,CG1572,CG18081
,,,,,,,,Trpm,,CG17508,,CG7582,alpha-Man-Ia,ClC-a,,,Mmp2,,,HDAC4,CG6959,CG2865,COX4,nAChRalpha5,,Rab3-GEF,CR41597,CG42700,,,Corin,CG4577,Pdfr,,CG10352,RpL4,ftz-f1,,eIF3m,,MYPT-75D,CG13995,CG5390,,flw,RpL18A,DIP-gamma,CG8248,sNPF-R,,SLO2,CG12541,,,kek3,Opa1,,Drep1,,CG11426,Tina-1,,SLO2,Galphao,CaMKI,CG17278,CG5028,,CR40469,CG17739,,CG13743,qm,CG43778,,Gs2,RpS26,TM4SF,Ect3,tsr,eEF1gamma,SLC22A,,CG4168,Dak1,RpS20
,,,,,,,,CG34219,,RpLP2,,CG13384,CG8861,Hnf4,,,prt,,,blw,CG17378,Nrg,Gbeta5,Liprin-gamma,,Fim,CG7430,CG17514,,,LpR2,ATPsynE,Epac,,CG13707,CG4199,CG43737,,CG2680,,SPR,CG15312,PGRP-LC,,Calx,Tsp42Ee,beat-Vb,St3,CR45139,,Kank,Lmpt,,,Dat,CG12379,,Pfk,,Ork1,Syngr,,CG43740,CG42337,Cka,awd,Pex19,,Syb,AnxB9,,ND-B14.7,VGAT,Cisd2,,Aldh,CG42492,SKIP,Treh,FK506-bp2,RpL37A,GstD9,,Gyc32E,CG10178,RpL27
,,,,,,,,cv-c,,RpLP1,,beat-VII,CG15803,Sodh-2,,,,,,gprs,CG8910,chrb,jdp,ND-B14.5B,,CG12991,Octbeta1R,norpA,,,beat-IIIb,Nplp1,CG3009,,CG17739,CG4577,ND3,,CG1688,,Tbh,Trx-2,Rac2,,ttv,CG1275,Sema2b,CG32506,,,CG34357,tna,,,CG31030,Proc,,ct,,CG10513,P5CDh1,,CG13594,CR44320,Syngr,Ect4,ND-19,,Dmtn,CG8475,,Acon,Hsp60A,Vha44,,AGBE,LTV1,CG33144,Irk3,sfl,CG40198,scrib,,TkR99D,CG31997,RpL26
,,,,,,,,dpr9,,CG5888,,CG42668,Octbeta3R,Adgf-D,,,,,,CG9531,luna,CG33181,alc,fok,,CG42313,cno,CG32276,,,Rgk1,ND-18,CR46006,,nemy,2mit,CG31145,,CG3257,,sun,Sox21b,Tis11,,Ih,CG3556,fend,CaMKII,,,alphaTub84B,Pdk,,,nwk,CG11779,,Scgdelta,,par-1,EndoB,,ap,Moe,Atet,RpL18A,Uhg5,,RpS21,RpL27,,Nlg3,Gs1,Vha26,,CG11791,ATPsynO,Pgm,bdl,Gbeta13F,RpL27,vir-1,,rdgA,tsr,CG9391
,,,,,,,,DnaJ-1,,CG12991,,PVRAP,BicD,GstE6,,,,,,CG42524,DnaJ-1,bic,ND-B14,rgn,,Non1,Sod2,HDAC4,,,mav,SdhB,CG8916,,vkg,Smox,CG12038,,eEF1alpha2,,Tl,CR45333,Akap200,,Shal,CG8407,luna,CG43143,,,app,CG34347,,,Dscam4,CG3008,,CG43078,,Est-Q,Pvf3,,Gfrl,CG5281,beat-IIIb,scf,mRpL23,,Amph,CG6287,,zfh1,Ac13E,CG11537,,Ctl1,CG3726,Or63a,wtrw,eEF5,yellow-c,Mdh1,,CG9932,noc,Nop60B
,,,,,,,,Eip93F,,spi,,CG13995,NK7.1,repo,,,,,,gpp,fz,l(3)neo38,Cchl,Hsp68,,Fie,Tina-1,Tsp42Ej,,,CG42524,ND-B14.7,mav,,CG11426,zld,chrb,,CG9384,,CG43902,Nos,RpLP2,,CG7646,RpS7,Hsp23,Hsp60A,,,CG14762,smal,,,porin,GlyP,,UQCR-14,,pyd3,RpL5,,nuf,SKIP,Lcch3,RpS23,CanA-14F,,sick,CG17036,,CG7430,mRpL17,Teh2,,Syb,mge,CG43143,Sema1b,eIF3b,CG30460,CR44137,,Nlg2,CG3793,RpS10b
,,,,,,,,CG42313,,Mob2,,alpha-Man-Ia,Rh7,Eip71CD,,,,,,Non1,nkd,ome,His3.3A,CG41128,,Nedd4,IscU,nAChRbeta1,,,Epac,mbl,,,GstE1,CG15236,NetB,,CG32428,,dpr2,CG12594,ced-6,,Syt7,Hsp67Ba,CG7991,ftz-f1,,,CG42392,CG43078,,,Lcch3,Trxr-1,,cype,,CR44137,COX7A,,Hsp68,rin,pyd,moody,mRpL27,,AnxB11,CG3961,,Frq1,CG11811,CG34371,,mxt,CG4364,CG32506,Rac2,Phm,CG7724,CG9628,,CR43724,CG11658,Gfrl
,,,,,,,,comm,,capu,,CG42238,Ucp4A,CG17508,,,,,,Syp,CG8861,tow,ND-B17.2,Non1,,CG31637,CG43759,CG34355,,,Mp,ND-30,,,Timp,Manf,CG34370,,smog,,CG10866,CG34155,Mtk,,CG8398,beta-Spec,olf413,VhaAC45,,,CG31690,CG44153,,,Shal,CG12171,,CG2993,,GstD9,CG6044,,side,Tina-1,bol,CG34445,mRpS35,,tok,RpL30,,CG43222,PMCA,CG34384,,EndoGI,nAChRalpha4,Rim,CG14688,CG8331,Tep4,ogre,,gish,prtp,amon
,,,,,,,,betaTub56D,,RpL27A,,CG14372,CG11638,Elal,,,,,,CG8229,mtt,Shawl,Vha44,CG7990,,levy,CG17691,eEF5,,,CG43740,CG18815,,,Tig,alpha-Spec,CG30015,,Csp,,CG43740,AstC-R2,Nplp2,,CG8300,CG11191,CG13375,EMRE,,,CG34354,Pglym78,,,CG9328,smt3,,Pdk,,Oatp58Dc,Usf,,CR43148,CG15537,ND-20,magu,CG5149,,CG4729,Cyp28d1,,ND-15,CG33639,Syt7,,RpL27,COX7C,Pfk,CG9953,CG5728,CG10550,CalpB,,Glo1,Nep2,PHGPx
,,,,,,,,CG14509,,Xbp1,,CG7990,app,CG12355,,,,,,UQCR-Q,Hsp70Bc,pyd,Pcd,Pcf11,,CG12290,PrBP,CG10947,,,CG6959,RpL39,,,wtrw,chn,Tina-1,,dysc,,CG34114,CG42748,fax,,SdhD,Chmp1,beat-IIIc,CG11638,,,Gfrl,DopEcR,,,CG13698,CG5323,,ND-51,,Dh44-R2,Sod2,,Ccn,Unr,CG3860,CG6287,CG43066,,CG9399,Cyp9f2,,UQCR-Q,CG15772,ATPsynF,,RpS17,ND-15,CG17839,CG43693,Lmpt,hebe,Ugt86Dd,,SkpA,mfas,Oamb
,,,,,,,,Ac78C,,RpS20,,CG3955,trn,wdp,,,,,,gammaSnap2,,igl,CG6329,CG43737,,CG3257,nrv3,CG6329,,,fkh,bsk,,,CG4302,Dop2R,RpL23,,Syngr,,CG44837,Ets65A,CG6701,,sdt,CG44325,CG31760,CG7991,,,CG5455,puc,,,CG34351,mtSSB,,Gpdh,,CR17025,Mid1,,CG12594,CG6145,CG43066,RpL35A,SdhD,,GstD1,CG11790,,Scsalpha,CG5969,CG3860,,RpLP0,CG14757,NUCB1,D2hgdh,eEF1alpha2,ACC,CG9689,,CR45979,Prosbeta1,Hsc70Cb
,,,,,,,,CG44774,,Tctp,,CG1607,,Hydr1,,,,,,Tao,,Df31,Hsp70Aa,norpA,,eIF3l,CG5010,CG17272,,,Kr-h1,igl,,,MtnA,CG4629,futsch,,SdhB,,pan,app,CG9629,,eIF3m,Sp1,rgn,Non1,,,nAChRalpha2,VepD,,,ed,CG8728,,blw,,Inx3,Syx6,,Hsp70Aa,numb,VhaAC39-1,hebe,path,,Chd64,RpL35A,,dnc,CG6330,CG43078,,ced-6,COX7A,CG13054,GstD9,Smox,CG30197,Syb,,Ace,SelR,CG12384
,,,,,,,,CG12560,,RpL13A,,CG11050,,Idh,,,,,,MagR,,Lar,ND-B16.6,bab2,,Atox1,CG31345,CR44417,,,Hr38,ox,,,CG12730,RpL30,CG9650,,uzip,,GABA-B-R3,Pde11,Rel,,unc-13-4A,Nmda1,CG18208,nAChRalpha5,,,Appl,dpr11,,,Csp,Nmnat,,CG11319,,Fer2LCH,l(1)G0196,,Sytalpha,CG13364,hbs,RpL26,DopEcR,,Moe,CG31705,,pyr,jagn,Efa6,,larp,CG3961,CG8910,Gabat,CG34357,RpS19a,N,,CG14715,CG8312,beat-Ia
,,,,,,,,mgl,,Eno,,CG30089,,CG6770,,,,,,ND-AGGG,,gish,AnxB10,CG5151,,Syp,Gpdh,CG13784,,,Rgk3,RFeSP,,,mlt,CG11221,MESR3,,CG10082,,,SLO2,nec,,LTV1,cv-2,CG31997,sbb,,,tna,NK7.1,,,CG43707,MAPk-Ak2,,CG31690,,goe,CR44317,,bru1,CG4629,Rim2,pdgy,orb2,,Got2,CG13937,,PMCA,caps,CG17193,,Cyp9f2,mRpL10,Drat,CG31548,LpR2,CG14830,CG14968,,CG12163,CG14207,fabp
,,,,,,,,bma,,RpS26,,CR45333,,Tsp42Ee,,,,,,Hex-A,,Ndae1,COX6B,CG15270,,CG17778,blw,dikar,,,CG1688,levy,,,CG31344,CG8909,KFase,,sdt,,,Nmdar2,chic,,CG43795,eEF1alpha1,Hsp27,CG4297,,,Con,Eip74EF,,,Syt12,Prosbeta4,,CG6282,,Tsp42Ea,CG5028,,CR32865,FK506-bp2,roX2,CG31272,Nmnat,,par-1,l(1)G0289,,ND-MLRQ,kirre,COX8,,RpL9,CG5151,tutl,S,ND-75,Ugt86Da,Irk1,,CG42313,Dip-B,CG6084
,,,,,,,,Snap24,,RpL10Ab,,EndoB,,Jheh3,,,,,,ND-19,,CG6767,ATPsyngamma,drongo,,ND-51,CG33199,RpL27A,,,CG43658,Scp2,,,yellow-b,Pis,PH4alphaEFB,,CG42324,,,ths,ninaD,,BicD,CG12541,Hsp26,Fife,,,rst,,,,CG10082,CG31694,,CG15394,,Ptr,nwk,,,Act5C,Adar,CG6836,NK7.1,,CG32549,CR13130,,AnxB10,nmo,Syngr,,Sap-r,Mdh1,CG7920,RpLP2,Psa,Egfr,Est-Q,,caps,Ptp10D,Uev1A
,,,,,,,,Spred,,RpL39,,Hsp83,,Orct,,,,,,Pect,,CG44774,Dak1,CG13365,,CG5455,CG44242,GluRIB,,,comm,MESK2,,,CG13631,CG5885,cac,,CG16833,,,fz,Chd64,,Nlg4,Sytbeta,,CG13384,,,Nckx30C,,,,slgA,HisRS,,ChAT,,CG13890,CG4587,,,zfh2,ATPsynCF6,CR31044,CG10395,,poly,Lsd-2,,Sod2,Sod1,CG11899,,numb,CG14509,Syn,axo,ICA69,CG12581,Gat,,Pdfr,bru2,eEF1gamma
,,,,,,,,eEF5,,RpL37A,,Rh7,,Ugt86Dd,,,,,,Sod2,,l(1)G0469,ND-B14.5A,CG3955,,CG9813,CG11267,CycG,,,,ND-ASHI,,,CG30285,pdm3,CG13506,,RabX1,,,dpr11,RpL13A,,CG31637,CG8066,,fend,,,CG42817,,,,VhaPPA1-1,CG6428,,SdhD,,Oatp33Ea,Mpcp2,,,fax,CG11752,ogre,Idh3b,,CG31145,Tis11,,Tsp42Ej,Fas2,Pgi,,Snp,UQCR-14,Dap160,CG5888,Tsp5D,nrv1,CR45161,,5-HT2B,crb,Phf5a
,,,,,,,,CG13784,,RpS29,,Oct-TyrR,,Cyp4g15,,,,,,CG14407,,Smox,COX5B,TfAP-2,,Mob2,mRpS5,pAbp,,,,Pgk,,,santa-maria,Nrt,CG42392,,dpr21,,,CG4658,RpS20,,CG34384,CG13248,,CG9674,,,nolo,,,,Atox1,Archease,,CG31814,,CG4829,CG1907,,,18w,Rab3,RpL6,emc,,CG42671,vkg,,ftz-f1,CG8620,alph,,Nep1,CG7430,Fsn,CAP,Rab26,CG2604,repo,,Phm,pck,Trpm
,,,,,,,,sca,,RpL27,,CG11537,,SLC22A,,,,,,ND-13A,,Slob,CG9005,CG12605,,ND-13B,CG14535,CG4596,,,,ND-B14.5B,,,CG11791,CG8405,wry,,CG42795,,,br,CG33460,,Pitslre,RpL12,,l(3)02640,,,SP1029,,,,CG12994,hoip,,CG13920,,Syx4,CG11076,,,Pvf3,CG10082,RpS24,Cyt-c1,,,betaggt-II,,CG9034,CG7639,CG10089,,Eip93F,ND-20,Tom40,CG12163,CG6180,CG42821,Vha68-2,,sNPF-R,CREG,gogo
,,,,,,,,sgg,,RpL17,,CR41597,,spir,,,,,,CG15916,,CG17816,slmo,roX2,,Syt7,CG8331,cv-c,,,,Cyt-c1,,,Picot,RpL39,kcc,,COX8,,,CG34353,CG8066,,Hs3st-A,Cow,,CG7220,,,CCAP-R,,,,Mp,MagR,,ND-39,,COQ7,Pdfr,,,Nep3,nwk,Indy,CG15309,,,RpL32,,Pgk,bol,REPTOR,,eIF3h,ND-23,hppy,CG1213,blw,RpL32,CG30069,,5-HT7,h,Gs1l
,,,,,,,,fend,,Adgf-C,,l(3)02640,,santa-maria,,,,,,Octbeta3R,,grp,vib,Slob,,CG7971,Gs1,B52,,,,Vha13,,,CG9467,ssx,CG17556,,CG10804,,,,CG18249,,eIF3k,svr,,Pur-alpha,,,amon,,,,Pgk,CCT1,,RapGAP1,,Hexo2,EMRE,,,LRR,l(2)k09913,Gp150,ND-20,,,RpL19,,Cyt-c1,Pfdn6,Atet,,CG13124,Gasz,SK,Taldo,RhoGEF3,CG6836,CG12163,,pix,CG16721,RpL7A
,,,,,,,,smt3,,RpS13,,mAChR-B,,CG10311,,,,,,beat-IIIb,,Task6,ND-ACP,CG17698,,Mpcp2,alphaTub84B,unc-13-4A,,,,UQCR-C2,,,Mal-A5,CG42394,CR44030,,ftz-f1,,,,Pdi,,Mgat2,CG32280,,RpL35,,,CG4678,,,,ftz-f1,MRP,,SdhB,,yin,Pfk,,,Hipk,Drat,CG6357,Vps24,,,QC,,ND-B16.6,CG18265,csw,,hid,NP15.6,gammaSnap2,lbm,mirr,pio,Hexo2,,ChAT,Socs44A,Uch
,,,,,,,,CG12071,,CG13124,,CG6006,,Jheh1,,,,,,eEF1alpha2,,Galphao,CG14806,St3,,gammaSnap2,CG4612,Dhit,,,,ND-13B,,,CG7509,plum,RpL37A,,shot,,,,CG13585,,Pxn,CG43324,,CG11294,,,qm,,,,mtd,FK506-bp1,,CaMKI,,bdl,CASK,,,CG13594,ATPsynE,N,RpL34b,,,ITP,,Nhe2,7B2,Rbp6,,ND6,Pdp1,Corin,Lapsyn,CG11752,CG9743,CG7834,,esn,Usp14,PDCD-5
,,,,,,,,cact,,Cyp6a17,,Dyrk2,,Gabat,,,,,,CG42674,,rgn,ND-B15,CG8245,,CG13917,Act5C,Rdl,,,,Hsp60A,,,Oda,CG1504,RpS11,,hdc,,,,Gbp2,,blw,CG12290,,MCU,,,path,,,,CG31324,CG6686,,glec,,CG30069,CG30089,,,His3.3B,rdx,stg,NLaz,,,RpL11,,Gapdh1,twr,RapGAP1,,chic,Trx-2,amon,Nep4,CG13248,dsb,Ssadh,,rin,Pomp,ed
,,,,,,,,fs(1)h,,RpL30,,DIP-beta,,Cyp1,,,,,,CG6329,,CG4660,Hsp70Ab,CG42260,,CG6330,Ccn,Fife,,,,Ms,,,Cyp28a5,br,put,,CG43737,,,,CG2493,,MRP,RpL37A,,sr,,,CG43658,,,,CG14757,7SK,,CG42392,,GLaz,CG42260,,,fz2,CG13995,RpL13,NP15.6,,,CG3902,,CG2082,CG31030,ktub,,CG17271,Synd,CG9164,CG31974,Gs1l,lft,rdhB,,SP2353,CG18622,Arpc3A
,,,,,,,,CG11768,,myo,,CG8620,,mlt,,,,,,CG13894,,VepD,Syt7,CG43066,,CG4300,CG33181,Snap24,,,,ND-49,,,ninaG,CG46301,Nedd4,,CG32278,,,,Vha68-2,,CG14853,AttB,,CG33199,,,ome,,,,Gbeta5,CG6066,,COX8,,mfas,SdhC,,,Toll-7,CG18815,Tctp,CG41128,,,CG11665,,CG14372,CG32544,Ih,,Tapdelta,QIL1,ed,Tsp42Ee,slo,Hsc70-4,GstS1,,sbb,pen-2,CG1943
,,,,,,,,eff,,Tpi,,sfl,,sky,,,,,,CG13920,,CG42260,ringer,CG15309,,Sod2,SK,oaf,,,,ATPsyndelta,,,CR45161,Pde8,RpL27A,,Pde9,,,,Obp83cd,,Alas,stai,,Vha68-1,,,Dyrk2,,,,kek5,eEF1gamma,,Mpcp2,,CG31999,VhaM8.9,,,arm,stj,ITP,CG33229,,,Gp150,,CG11876,CG14408,ATPsynO,,Gel,Teh2,Ac76E,CG42259,CG13220,RpL26,Tspo,,CG9368,Dat,Tapdelta
,,,,,,,,CG7378,,IP3K2,,nkd,,Proc-R,,,,,,Rox8,,Rgk3,CG40498,ATPsynG,,Mef2,skap,CkIIalpha,,,,roh,,,Proc-R,CR45845,Gfrl,,CG7378,,,,psh,,Teh2,Pvr,,Vha44,,,Trim9,,,,orb,CG8209,,Lis-1,,CG13458,CG6154,,,loqs,KrT95D,RpS21,ths,,,CG6357,,kdn,SPoCk,CG3719,,Got1,RFeSP,Glut1,Jafrac1,CtBP,GstO3,CRAT,,Cals,Syb,RpS15Aa
,,,,,,,,RpL10,,lawc,,Hsp68,,CG17841,,,,,,CG18815,,cact,SdhD,FoxP,,CG11752,CG9034,Imp,,,,COX5B,,,Tsp42Ef,tyf,CG16974,,Sod1,,,,CG8046,,Aldh,hth,,CG7407,,,beta4GalNAcTA,,,,Gapdh2,pix,,alc,,GstE12,eIF4EHP,,,CG13248,nAChRalpha7,Tsp42El,Chchd3,,,GstD3,,DopEcR,drpr,CG15630,,kuk,Pcf11,Adk1,path,CG32137,CG8586,CG7607,,CG43222,Myd88,CG8331
,,,,,,,,fax,,sty,,CG15765,,teq,,,,,,CG4662,,2mit,CG5903,Kank,,CG3530,CG14509,DnaJ-1,,,,CG5676,,,CG8740,oaf,Glut4EF,,ND-20,,,,MP1,,CG18815,CG33543,,Plc21C,,,CG42240,,,,dpr18,Su(Tpl),,Pdfr,,CG12926,UQCR-C2,,,pod1,CG14186,CG10527,CG2993,,,CG14439,,rgn,Vha36-1,CG6770,,,Mpcp2,CG15431,CG34417,Dic1,GstE6,CG9394,,CG32333,CG3164,Bin1
